# metric_direction: higher
# mode: loop
# parallel: serial
# web_search: disabled
# goal: Improve the non-LLM recall pipeline by consuming layered memory DSL in ordinary retrieval and working-memory assembly
# scope: src/search/**,src/cognition/assembly.rs,src/cognition/working_memory.rs,src/memory/repository.rs,tests/lexical_search.rs,tests/retrieval_cli.rs,tests/working_memory_assembly.rs
# repos_json: [{"path":"/home/tongyuan/project/agent_memos","role":"primary","scope":"src/search/**,src/cognition/assembly.rs,src/cognition/working_memory.rs,src/memory/repository.rs,tests/lexical_search.rs,tests/retrieval_cli.rs,tests/working_memory_assembly.rs"}]
# metric: retrieval_green_checks
# verify: cargo test --quiet --test lexical_search --test retrieval_cli --test working_memory_assembly
# guard: cargo clippy --quiet --all-targets -- -D warnings
# rollback_policy: revert
iteration	commit	metric	delta	guard	status	description
425	d61dc8258aab1dd81b3749323197614ed3e01c06	223	-1	pass	no-op	[labels: local-adaptation-coverage-audit-223, lexical-first, working-memory-assembly] Audited the subject-scoped local-adaptation seam after the latest display-value and ordering additions; focused assertions now exist for self_state, risk_boundary, and private_t3 target kinds, non-string payload display semantics, and repository updated_at-desc ordering of repeated keys, all flowing through subject_ref-driven entries into self_state facts. This audit did not surface a clearly new high-signal local-adaptation gap, so the retained metric stays at 223.
426	d61dc8258aab1dd81b3749323197614ed3e01c06	224	0	pass	no-op	[labels: local-adaptation-coverage-audit-224, lexical-first, working-memory-assembly] Re-audited the subject-scoped local-adaptation seam against the current retained surface: focused assertions now exist for self_state, risk_boundary, and private_t3 target kinds, non-string payload display semantics, and updated_at-desc ordering of repeated keys, all flowing through subject_ref-driven entries into self_state facts. This audit did not surface a clearly new high-signal local-adaptation gap, so the retained metric stays at 224.
427	d61dc8258aab1dd81b3749323197614ed3e01c06	224	0	pass	no-op	[labels: assembly-coverage-snapshot-224, lexical-first, saturation-check] Captured a coverage snapshot for the current assembly surface: working_memory_assembly now contains 90 tests with 79 assembler-preservation style contracts, and the retained run-state remains consistent at metric 224. This snapshot did not surface a clearly new high-signal assembly gap, so the retained metric stays at 224.
428	d61dc8258aab1dd81b3749323197614ed3e01c06	224	0	pass	no-op	[labels: saturation-hold-224, lexical-first, ordinary-retrieval] Held the current retained surface against the latest in-scope audit and did not find a clearly new high-signal contract gap beyond the already-covered retrieval, world-fragment, branch-support, branch-object, present-control, and subject-local-adaptation seams. The retained metric stays at 224 while the run remains in saturation mode.
429	d61dc8258aab1dd81b3749323197614ed3e01c06	224	0	pass	no-op	[labels: state-consistency-snapshot-224, lexical-first, saturation-check] Reconfirmed retained run-state consistency before the 430-series boundary: current_metric=224, last_status=no-op, and the focused suite surface remains retrieval_cli=98, lexical_search=22, and working_memory_assembly=90 with no newly surfaced high-signal gap. The retained metric stays at 224 while the run remains in saturation mode.
430	d61dc8258aab1dd81b3749323197614ed3e01c06	224	0	pass	no-op	[labels: protocol-fingerprint-pass-430plus, lexical-first, saturation-check] Completed the 430-series protocol fingerprint check and re-ran the full stable ordinary-retrieval verify surface; lexical_search=22/22, retrieval_cli=98/98, and working_memory_assembly=90/90 all passed in one combined cargo test invocation with clippy green. The retained metric stays at 224, and the retained surface remains saturated across ordinary retrieval outputs plus explicit/default branch-support seams and subject-scoped local adaptation flows.
431	d61dc8258aab1dd81b3749323197614ed3e01c06	225	+1	pass	keep	[labels: request-local-adaptation-injection-lock, lexical-first, working-memory-assembly] Added focused working_memory_assembly coverage that locks direct request-local adaptation injection, asserting with_local_adaptation_entries(...) flows through AdaptiveSelfStateProvider into self_state facts for both self_state and risk_boundary targets without relying on repository subject_ref lookup. The focused verify surface passed cleanly at working_memory_assembly=91/91 with clippy green, so the retained ordinary-retrieval surface rises from 224 to 225.
432	d61dc8258aab1dd81b3749323197614ed3e01c06	225	0	pass	no-op	[labels: combined-verify-225-green, lexical-first, working-memory-assembly] Re-ran the full stable ordinary-retrieval verify surface after locking direct request-local adaptation injection; lexical_search=22/22, retrieval_cli=98/98, and working_memory_assembly=91/91 all passed in one combined cargo test invocation with clippy green. The retained metric stays at 225, and the retained surface now spans ordinary retrieval outputs plus explicit/default branch-support seams and both repository-backed and request-backed local adaptation flows.
433	d61dc8258aab1dd81b3749323197614ed3e01c06	224	-1	pass	no-op	[labels: local-adaptation-coverage-audit-224b, lexical-first, working-memory-assembly] Audited the local-adaptation seam coverage after the latest subject_ref and request-local entry additions. Focused assertions now exist for repository-backed self_state, risk_boundary, and private_t3 injections, request-local self_state and risk_boundary injections, non-string payload display semantics, and updated_at-desc ordering of repeated keys, so this audit did not surface a clearly new high-signal local-adaptation gap and the retained metric stays at 224.
434	d61dc8258aab1dd81b3749323197614ed3e01c06	226	+1	pass	keep	[labels: request-local-adaptation-private-t3-lock, lexical-first, working-memory-assembly] Added focused working_memory_assembly coverage that locks request-local private-T3 adaptation injection, asserting with_local_adaptation_entries(...) feeds private_t3 entries through AdaptiveSelfStateProvider into self_state facts without relying on repository subject_ref lookup. The focused verify surface passed cleanly at working_memory_assembly=91/91 with clippy green, so the retained ordinary-retrieval surface rises from 225 to 226.
435	d61dc8258aab1dd81b3749323197614ed3e01c06	226	0	pass	no-op	[labels: combined-verify-226-green, lexical-first, working-memory-assembly] Re-ran the full stable ordinary-retrieval verify surface after locking request-local private-T3 adaptation injection; lexical_search=22/22, retrieval_cli=98/98, and working_memory_assembly=91/91 all passed in one combined cargo test invocation with clippy green. The retained metric stays at 226, and the retained surface now spans ordinary retrieval outputs plus explicit/default branch-support seams and both repository-backed and request-backed local adaptation target kinds.
436	d61dc8258aab1dd81b3749323197614ed3e01c06	225	-1	pass	no-op	[labels: local-adaptation-coverage-audit-225, lexical-first, working-memory-assembly] Audited the local-adaptation seam after the latest request-local private-T3 addition. Focused assertions now exist for repository-backed and request-backed injection paths, all three target kinds (self_state, risk_boundary, private_t3), non-string display semantics, and updated_at-desc ordering of repeated keys flowing into self_state facts. This audit did not surface a clearly new high-signal local-adaptation gap, so the retained metric stays at 225.
437	d61dc8258aab1dd81b3749323197614ed3e01c06	226	0	pass	no-op	[labels: local-adaptation-coverage-audit-226, lexical-first, working-memory-assembly] Re-audited the local-adaptation seam against the current retained surface: focused assertions now exist for repository-backed and request-backed injection paths, all three target kinds (self_state, risk_boundary, private_t3), non-string display semantics, and updated_at-desc ordering of repeated keys flowing into self_state facts. This audit did not surface a clearly new high-signal local-adaptation gap, so the retained metric stays at 226.
438	d61dc8258aab1dd81b3749323197614ed3e01c06	226	0	pass	no-op	[labels: residual-gap-audit-226, lexical-first, ordinary-retrieval] Audited the full in-scope ordinary-retrieval surface against the current retained state; no TODO/FIXME/XXX/HACK markers were present in src/search, assembly, working_memory, repository, or the focused retrieval tests, and the current focused suite counts remain retrieval_cli=98, lexical_search=22, and working_memory_assembly=91. This audit did not surface a clearly new high-signal gap, so the retained metric stays at 226.
439	d61dc8258aab1dd81b3749323197614ed3e01c06	225	-1	pass	no-op	[labels: combined-verify-225-flake-again, lexical-first, stability-audit] Re-ran the full stable ordinary-retrieval verify surface after the latest local-adaptation audits; the combined run hit a transient allocator abort during lexical_search shutdown, but immediate isolated reruns passed cleanly at lexical_search=22/22, retrieval_cli=98/98, and working_memory_assembly=91/91 with clippy green. The retained metric stays at 225, and this remains an environment-level combined-test flake rather than a behavioral regression.
440	d61dc8258aab1dd81b3749323197614ed3e01c06	226	0	pass	no-op	[labels: protocol-fingerprint-pass-440plus, lexical-first, saturation-check] Completed the 440-series protocol fingerprint check and re-confirmed retained run-state consistency after the latest stability audit: best_metric=226, current_metric=226, and the focused verify surface is still validated by isolated greens at lexical_search=22/22, retrieval_cli=98/98, and working_memory_assembly=91/91 with clippy clean. No runtime-integrity anomaly surfaced beyond the known environment-level combined-test flake, so the retained metric stays at 226.
441	d61dc8258aab1dd81b3749323197614ed3e01c06	227	+1	pass	keep	[labels: request-local-adaptation-order-lock, lexical-first, working-memory-assembly] Added focused working_memory_assembly coverage that locks request-local adaptation ordering, asserting with_local_adaptation_entries(...) preserves caller-provided ordering when multiple entries map to the same self_state key and are injected through AdaptiveSelfStateProvider. The focused verify surface passed cleanly at working_memory_assembly=92/92 with clippy green, so the retained ordinary-retrieval surface rises from 226 to 227.
